game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-09-29,CHI,MIN,16.0,6.0,0.0,0.0,15.0,12.0,20.0,28.0,0,0
2019-09-29,DEN,JAX,24.0,26.0,0.0,1.0,15.333333333333334,40.0,22.333333333333332,26.0,0,0
2019-09-29,NO,DAL,12.0,10.0,1.0,0.0,28.5,24.0,18.0,31.5,0,0
2019-09-30,PIT,CIN,27.0,3.0,1.0,1.0,32.0,36.0,18.0,17.0,0,0
2019-10-03,SEA,LA,30.0,29.0,0.0,0.75,14.5,29.25,30.5,26.0,0,0
2019-10-06,CAR,JAX,34.0,27.0,1.0,1.0,30.0,40.0,27.0,26.0,0,0
2019-10-06,CIN,ARI,23.0,26.0,1.0,0.0,36.0,27.0,17.0,27.0,0,0
2019-10-06,HOU,ATL,53.0,32.0,0.5,0.6666666666666666,19.5,23.333333333333332,19.5,23.666666666666668,0,0
2019-10-06,NO,TB,31.0,24.0,1.0,1.0,28.5,31.0,18.0,17.0,0,0
2019-10-06,NYG,MIN,10.0,28.0,1.0,0.0,22.5,12.0,15.0,28.0,0,0
2019-10-06,OAK,CHI,24.0,21.0,1.0,0.0,34.0,15.0,18.0,20.0,0,0
2019-10-06,PHI,NYJ,31.0,6.0,0.5,1.0,18.0,17.0,24.0,16.0,0,0
2019-10-06,PIT,BAL,23.0,26.0,1.0,1.0,32.0,33.666666666666664,18.0,21.333333333333332,0,0
2019-10-06,TEN,BUF,7.0,14.0,0.5,0.75,21.5,19.0,23.5,15.75,0,0
2019-10-06,WAS,NE,7.0,33.0,0.0,0.75,16.5,19.0,29.5,15.75,0,0
2019-10-06,LAC,DEN,13.0,20.0,0.0,0.0,24.0,17.5,30.0,23.25,0,0
2019-10-06,DAL,GB,24.0,34.0,0.0,0.0,24.0,15.333333333333334,31.5,22.333333333333332,0,0
2019-10-06,KC,IND,13.0,19.0,1.0,0.5,33.75,23.5,23.5,25.5,0,0
2019-10-07,SF,CLE,31.0,3.0,1.0,1.0,32.0,25.666666666666668,18.0,16.333333333333332,0,0
2019-10-10,NE,NYG,35.0,14.0,0.75,1.0,19.0,22.5,15.75,15.0,0,0
2019-10-13,TB,CAR,26.0,37.0,1.0,1.0,31.0,30.0,17.0,27.0,0,0
2019-10-13,BAL,CIN,23.0,17.0,1.0,1.0,33.666666666666664,36.0,21.333333333333332,17.0,0,0
2019-10-13,CLE,SEA,28.0,32.0,1.0,0.6,31.75,29.2,14.25,26.8,0,0
2019-10-13,JAX,NO,6.0,13.0,1.0,1.0,40.0,28.5,26.0,18.0,0,0
2019-10-13,KC,HOU,24.0,31.0,0.8,0.2,29.6,20.4,22.6,30.4,0,0
2019-10-13,MIA,WAS,16.0,17.0,1.0,0.0,59.0,14.6,10.0,30.2,0,0
2019-10-13,MIN,PHI,38.0,20.0,0.0,0.5,12.0,18.0,28.0,24.0,0,0
2019-10-13,ARI,ATL,34.0,33.0,0.0,0.6666666666666666,27.0,23.333333333333332,27.0,23.666666666666668,0,0
2019-10-13,LA,SF,7.0,20.0,0.6,1.0,29.2,31.75,26.8,14.25,0,0
2019-10-13,DEN,TEN,16.0,0.0,0.2,0.5,18.0,21.5,21.2,23.5,0,0
2019-10-13,NYJ,DAL,24.0,22.0,1.0,0.0,17.0,24.0,16.0,31.5,0,0
2019-10-13,LAC,PIT,17.0,24.0,0.0,1.0,24.0,32.0,30.0,18.0,0,0
2019-10-14,GB,DET,23.0,22.0,0.0,1.0,15.333333333333334,33.75,22.333333333333332,23.5,0,0
2019-10-17,DEN,KC,6.0,30.0,0.3333333333333333,0.6666666666666666,17.666666666666668,28.666666666666668,17.666666666666668,24.0,0,0
2019-10-20,ATL,LA,10.0,37.0,0.6666666666666666,1.0,23.333333333333332,29.4,23.666666666666668,12.8,0,0
2019-10-20,BUF,MIA,31.0,21.0,0.8,0.16666666666666666,18.0,15.0,14.0,27.833333333333332,0,0
2019-10-20,CIN,JAX,17.0,27.0,1.0,1.0,36.0,40.0,17.0,26.0,0,0
2019-10-20,DET,MIN,30.0,42.0,1.0,0.0,33.75,12.0,23.5,28.0,0,0
2019-10-20,GB,OAK,42.0,24.0,0.0,1.0,15.333333333333334,34.0,22.333333333333332,18.0,0,0
2019-10-20,IND,HOU,30.0,23.0,0.8,0.6666666666666666,29.6,28.666666666666668,22.6,24.0,0,0
2019-10-20,NYG,ARI,21.0,27.0,1.0,0.16666666666666666,22.5,22.5,15.0,31.0,0,0
2019-10-20,WAS,SF,0.0,9.0,0.16666666666666666,1.0,15.0,29.4,27.833333333333332,12.8,0,0
2019-10-20,TEN,LAC,23.0,20.0,0.5,0.0,21.5,24.0,23.5,30.0,0,0
2019-10-20,CHI,NO,25.0,36.0,0.0,1.0,15.0,28.5,20.0,18.0,0,0
2019-10-20,SEA,BAL,16.0,30.0,0.6,1.0,29.2,33.666666666666664,26.8,21.333333333333332,0,0
2019-10-20,DAL,PHI,37.0,10.0,0.0,0.5,24.0,18.0,31.5,24.0,0,0
2019-10-21,NYJ,NE,0.0,33.0,1.0,0.75,17.0,19.0,16.0,15.75,0,0
2019-10-24,MIN,WAS,19.0,9.0,0.0,1.0,12.0,26.0,28.0,10.666666666666666,0,0
2019-10-27,ATL,SEA,20.0,27.0,0.6666666666666666,0.6,23.333333333333332,29.2,23.666666666666668,26.8,0,0
2019-10-27,BUF,PHI,13.0,31.0,0.8333333333333334,0.5,20.166666666666668,18.0,15.166666666666666,24.0,0,0
2019-10-27,CHI,LAC,16.0,17.0,0.0,0.0,15.0,24.0,20.0,30.0,0,0
2019-10-27,DET,NYG,31.0,26.0,1.0,1.0,33.75,22.5,23.5,15.0,0,0
2019-10-27,IND,DEN,15.0,13.0,0.8,0.7142857142857143,29.6,28.857142857142858,22.6,21.428571428571427,0,0
2019-10-27,JAX,NYJ,29.0,15.0,1.0,1.0,40.0,17.0,26.0,16.0,0,0
2019-10-27,LA,CIN,24.0,10.0,1.0,1.0,29.4,36.0,12.8,17.0,0,0
2019-10-27,NO,ARI,31.0,9.0,1.0,0.16666666666666666,28.5,22.5,18.0,31.0,0,0
2019-10-27,TEN,TB,27.0,23.0,0.5,1.0,21.5,31.0,23.5,17.0,0,0
2019-10-27,SF,CAR,51.0,13.0,1.0,1.0,26.0,30.0,10.666666666666666,27.0,0,0
2019-10-27,HOU,OAK,27.0,24.0,0.6666666666666666,1.0,28.666666666666668,34.0,24.0,18.0,0,0
2019-10-27,NE,CLE,27.0,13.0,0.75,1.0,19.0,31.75,15.75,14.25,0,0
2019-10-27,KC,GB,24.0,31.0,0.7142857142857143,0.0,28.857142857142858,15.333333333333334,21.428571428571427,22.333333333333332,0,0
2019-10-28,PIT,MIA,27.0,14.0,1.0,0.8333333333333334,32.0,20.166666666666668,18.0,15.166666666666666,0,0
2019-10-31,ARI,SF,25.0,28.0,0.16666666666666666,1.0,22.5,29.571428571428573,31.0,11.0,0,0
2019-11-03,JAX,HOU,3.0,26.0,1.0,0.6666666666666666,40.0,28.666666666666668,26.0,24.0,0,0
2019-11-03,BUF,WAS,24.0,9.0,0.7142857142857143,1.0,19.142857142857142,26.0,17.428571428571427,10.666666666666666,0,0
2019-11-03,CAR,TEN,30.0,20.0,1.0,0.5,29.571428571428573,21.5,11.0,23.5,0,0
2019-11-03,KC,MIN,26.0,23.0,0.625,0.0,28.25,12.0,22.625,28.0,0,0
2019-11-03,MIA,NYJ,26.0,18.0,0.8333333333333334,1.0,20.166666666666668,17.0,15.166666666666666,16.0,0,0
2019-11-03,PHI,CHI,22.0,14.0,0.7142857142857143,0.0,19.142857142857142,15.0,17.428571428571427,20.0,0,0
2019-11-03,PIT,IND,26.0,24.0,1.0,0.8,32.0,29.6,18.0,22.6,0,0
2019-11-03,OAK,DET,31.0,24.0,1.0,1.0,34.0,33.75,18.0,23.5,0,0
