game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed
401128098,2019,2,2019-09-15T17:00Z,Lambeau Field,,,,GB,21,2-0,0.0,MIN,16,1-1,0.0,20,12,7,1,5-15,0-1,69,335,4.9,14,191,22/34,5.3,0,2-18,144,33,4.4,3-3,6-35,2,2,0,34:06,,,,,,,,,,,,
401128114,2019,2,2019-09-15T17:00Z,Nissan Stadium,,,,TEN,17,1-1,0.0,IND,19,1-1,0.0,18,7,9,2,1-10,0-1,56,243,4.3,11,119,19/28,3.7,0,4-35,124,24,5.2,2-2,5-75,0,0,0,28:06,,,,,,,,,,,,
401127862,2019,2,2019-09-15T17:00Z,Hard Rock Stadium,,,,MIA,0,0-2,0.0,NE,43,2-0,0.0,11,7,3,1,2-15,2-4,61,184,3.0,13,142,18/39,3.1,4,7-44,42,15,2.8,0-1,4-22,4,0,0,23:30,,,,,,,,,,,,
401128106,2019,2,2019-09-15T17:00Z,MetLife Stadium,,,,NYG,14,0-2,0.0,BUF,28,2-0,0.0,21,14,7,0,3-12,1-2,66,370,5.6,12,241,26/45,5.2,2,1-9,129,20,6.5,1-1,7-40,2,0,0,27:22,,,,,,,,,,,,
401128110,2019,2,2019-09-15T17:00Z,Acrisure Stadium,,,,PIT,26,0-2,0.0,SEA,28,2-0,0.0,17,10,5,2,3-11,0-0,51,261,5.1,11,180,20/34,5.1,1,1-7,81,16,5.1,3-4,5-78,1,0,0,24:14,,,,,,,,,,,,
401128115,2019,2,2019-09-15T17:00Z,Northwest Stadium,,,,WSH,21,0-2,0.0,DAL,31,2-0,0.0,19,12,4,3,2-9,2-3,55,255,4.6,9,208,26/37,5.5,0,1-13,47,17,2.8,3-3,6-44,0,0,0,26:38,,,,,,,,,,,,
401128061,2019,2,2019-09-15T17:00Z,M&T Bank Stadium,,,,BAL,23,2-0,0.0,ARI,17,0-1-1,0.0,26,16,9,1,7-14,0-1,72,440,6.1,10,258,24/37,6.6,0,2-14,182,33,5.5,1-4,10-62,0,0,0,37:38,,,,,,,,,,,,
401128101,2019,2,2019-09-15T17:00Z,NRG Stadium,,,,HOU,13,1-1,0.0,JAX,12,0-2,0.0,17,9,7,1,6-15,1-1,63,263,4.2,11,137,16/29,4.2,0,4-22,126,30,4.2,1-2,7-47,0,0,0,29:59,,,,,,,,,,,,
401128118,2019,2,2019-09-15T20:05Z,Oakland Coliseum,,,,OAK,10,1-1,0.0,KC,28,2-0,0.0,19,12,5,2,6-14,1-1,60,307,5.1,11,178,23/38,4.3,2,3-20,129,19,6.8,1-3,7-52,2,0,0,27:25,,,,,,,,,,,,
401128120,2019,2,2019-09-15T20:25Z,Empower Field at Mile High,,,,DEN,14,0-2,0.0,CHI,16,1-1,0.0,27,19,5,3,3-14,3-3,76,372,4.9,9,282,35/50,5.4,1,2-10,90,24,3.8,1-3,10-81,1,0,0,32:59,,,,,,,,,,,,
401128122,2019,2,2019-09-15T20:25Z,Los Angeles Memorial Coliseum,,,,LAR,27,2-0,0.0,NO,9,1-1,0.0,20,11,7,2,5-13,0-0,61,380,6.2,11,265,19/28,8.5,0,3-18,115,30,3.8,3-6,8-65,1,1,0,30:21,,,,,,,,,,,,
401128124,2019,2,2019-09-16T00:20Z,Mercedes-Benz Stadium,,,,ATL,24,1-1,0.0,PHI,20,1-1,0.0,19,15,3,1,3-10,1-1,61,367,6.0,12,310,27/43,7.0,3,1-10,57,17,3.4,1-2,10-58,3,0,0,27:06,,,,,,,,,,,,
401128127,2019,2,2019-09-17T00:15Z,MetLife Stadium,,,,NYJ,3,0-2,0.0,CLE,23,1-1,0.0,13,6,4,3,2-14,0-2,59,262,4.4,12,169,23/31,4.8,0,4-32,93,24,3.9,0-1,12-89,1,1,0,30:19,,,,,,,,,,,,
401127859,2019,3,2019-09-20T00:20Z,EverBank Stadium,,,,JAX,20,1-2,0.0,TEN,7,1-2,0.0,12,8,2,2,2-11,0-1,50,292,5.8,12,204,20/30,6.8,0,0-0,88,20,4.4,1-2,4-30,0,0,0,24:44,,,,,,,,,,,,
