home_games_played,home_points_scored,home_points_allowed,home_wins,home_losses,home_ties,away_games_played,away_points_scored,away_points_allowed,away_wins,away_losses,away_ties,total_games,avg_points_scored,avg_points_allowed,total_wins,total_losses,total_ties,win_percentage,year,team
8,26.75,18.25,5,3,0,8,22.625,19.625,4,4,0,16,24.6875,18.9375,9,7,0,0.5625,2017,BAL
8,22.375,22.625,4,4,0,8,15.25,24.0,2,6,0,16,18.8125,23.3125,6,10,0,0.375,2017,OAK
8,25.625,15.75,5,3,0,8,18.75,18.25,4,4,0,16,22.1875,17.0,9,7,0,0.5625,2017,LAC
8,24.875,24.25,4,4,0,8,20.875,17.25,5,3,0,16,22.875,20.75,9,7,0,0.5625,2017,SEA
8,22.5,16.75,5,3,0,8,21.625,22.625,5,3,0,16,22.0625,19.6875,10,6,0,0.625,2017,ATL
8,15.625,26.125,2,6,0,8,15.125,22.375,1,7,0,16,15.375,24.25,3,13,0,0.1875,2017,NYG
8,23.25,22.0,4,4,0,8,14.0,25.75,1,7,0,16,18.625,23.875,5,11,0,0.3125,2017,NYJ
8,28.625,13.375,7,1,0,8,28.5,23.5,6,2,0,16,28.5625,18.4375,13,3,0,0.8125,2017,PHI
8,20.875,20.125,5,3,0,8,16.0,25.0,3,5,0,16,18.4375,22.5625,8,8,0,0.5,2017,ARI
8,22.625,20.5,5,3,0,8,23.25,23.0,4,4,0,16,22.9375,21.75,9,7,0,0.5625,2018,PHI
8,21.125,22.0,5,2,1,8,23.75,27.0,2,6,0,16,22.4375,24.5,7,8,1,0.46875,2018,CLE
8,29.875,20.375,6,2,0,8,24.25,22.625,4,4,0,16,27.0625,21.5,10,6,0,0.625,2018,IND
8,22.75,21.625,6,2,0,8,17.125,32.5,1,7,0,16,19.9375,27.0625,7,9,0,0.4375,2018,MIA
8,22.0,19.625,5,3,0,8,23.0,23.0,3,4,1,16,22.5,21.3125,8,7,1,0.53125,2018,MIN
8,32.875,16.625,8,0,0,8,21.625,24.0,3,5,0,16,27.25,20.3125,11,5,0,0.6875,2018,NE
8,34.125,25.625,6,2,0,8,28.875,18.5,7,1,0,16,31.5,22.0625,13,3,0,0.8125,2018,NO
8,20.25,27.75,2,6,0,8,25.875,23.75,3,5,0,16,23.0625,25.75,5,11,0,0.3125,2018,NYG
8,27.125,17.25,6,2,0,8,21.5,18.625,4,4,0,16,24.3125,17.9375,10,6,0,0.625,2018,BAL
8,25.75,21.25,5,3,0,8,27.75,19.875,7,1,0,16,26.75,20.5625,12,4,0,0.75,2018,LAC
8,19.5,21.125,3,5,0,8,21.625,22.5,3,5,0,16,20.5625,21.8125,6,10,0,0.375,2018,DEN
8,12.25,23.875,1,7,0,8,15.875,29.25,2,6,0,16,14.0625,26.5625,3,13,0,0.1875,2018,ARI
8,25.5,21.875,5,3,0,8,21.5,25.875,2,6,0,16,23.5,23.875,7,9,0,0.4375,2018,CAR
8,23.75,20.625,5,2,1,8,23.25,29.375,1,7,0,16,23.5,25.0,6,9,1,0.40625,2018,GB
8,18.625,26.0,3,5,0,8,21.875,19.0,3,5,0,16,20.25,22.5,6,10,0,0.375,2018,DET
8,22.375,29.875,3,5,0,8,13.875,28.5,1,7,0,16,18.125,29.1875,4,12,0,0.25,2018,OAK
8,24.125,28.5,4,4,0,8,21.875,28.375,2,6,0,16,23.0,28.4375,6,10,0,0.375,2018,CIN
8,29.5,26.875,4,4,0,8,22.25,26.0,3,5,0,16,25.875,26.4375,7,9,0,0.4375,2018,ATL
8,18.875,23.375,4,4,0,8,14.75,23.375,2,6,0,16,16.8125,23.375,6,10,0,0.375,2018,BUF
8,22.25,18.875,6,2,0,8,16.5,19.0,3,5,0,16,19.375,18.9375,9,7,0,0.5625,2018,TEN
8,23.5,31.0,2,6,0,8,18.125,24.125,2,6,0,16,20.8125,27.5625,4,12,0,0.25,2018,NYJ
8,30.0,22.5,5,3,0,8,23.5,22.5,4,3,1,16,26.75,22.5,9,6,1,0.59375,2018,PIT
8,22.5,22.25,4,4,0,8,27.0,35.75,1,7,0,16,24.75,29.0,5,11,0,0.3125,2018,TB
8,21.25,21.875,4,4,0,8,21.5,32.5,0,8,0,16,21.375,27.1875,4,12,0,0.25,2018,SF
8,16.0,15.125,3,5,0,8,14.625,24.375,2,6,0,16,15.3125,19.75,5,11,0,0.3125,2018,JAX
8,25.0,18.5,7,1,0,8,17.375,22.0,3,5,0,16,21.1875,20.25,10,6,0,0.625,2018,DAL
8,28.125,17.5,7,1,0,8,24.5,17.875,5,3,0,16,26.3125,17.6875,12,4,0,0.75,2018,CHI
8,32.375,18.0,7,1,0,8,38.25,34.625,5,3,0,16,35.3125,26.3125,12,4,0,0.75,2018,KC
8,25.875,17.0,6,2,0,8,24.375,22.5,5,3,0,16,25.125,19.75,11,5,0,0.6875,2018,HOU
8,28.5,21.625,6,2,0,8,25.0,21.75,4,4,0,16,26.75,21.6875,10,6,0,0.625,2018,SEA
