game_id,game_date,home_team,away_team,actual_winner,home_score,away_score,all_agree,high_confidence,vedic_home_win_prob,vedic_confidence,vedic_correct,advanced_home_win_prob,advanced_confidence,advanced_correct,combined_home_win_prob,combined_confidence,combined_correct,sports_home_win_prob,sports_confidence,sports_correct
401127928,2019-09-08T17:00Z,CLE,TEN,away,13,43,False,False,0.5,0.1314596687270856,True,0.5238371499815024,0.047674299963004874,False,0.44599783712279406,0.18501938582979915,True,0.5,0.165697584112094,True
401127972,2019-09-08T20:05Z,LAC,IND,home,30,24,False,False,0.5,0.2416656335835271,False,0.5238371499815024,0.047674299963004874,True,0.6143567588533987,0.3378217257347105,True,0.5,0.008276035817844394,False
401127860,2019-09-09T00:20Z,NE,PIT,home,33,3,False,False,0.5,0.007423393652357779,False,0.5238371499815024,0.047674299963004874,True,0.31839831465621427,0.4002967533592361,False,0.5,0.09165117628112501,False
401128021,2019-09-09T23:10Z,NO,HOU,home,30,28,False,False,0.5,0.05716269166337096,False,0.5238371499815024,0.047674299963004874,True,0.605760411913697,0.3562003902948562,True,0.5,0.15442907482579787,False
401128114,2019-09-15T17:00Z,TEN,IND,away,17,19,False,False,0.5,0.2703743526864655,True,0.5238371499815024,0.047674299963004874,False,0.39271708997198307,0.3445030298164092,True,0.5,0.03850565802743229,True
401127862,2019-09-15T17:00Z,MIA,NE,away,0,43,False,False,0.5,0.22551285138999777,True,0.5238371499815024,0.047674299963004874,False,0.5527409510930695,0.28469903998112067,False,0.5,0.19538625869847398,True
401128101,2019-09-15T17:00Z,HOU,JAX,home,13,12,False,False,0.5,0.19326727789312925,False,0.5238371499815024,0.047674299963004874,True,0.6276183529210594,0.4193218273313896,True,0.5,0.07617537335771696,False
401127921,2019-09-22T17:00Z,DAL,MIA,home,31,6,False,False,0.5,0.512424399186221,False,0.5238371499815024,0.047674299963004874,True,0.4420912563371515,0.3428528473998016,False,0.5,0.17407565663197624,False
401127953,2019-09-22T17:00Z,KC,BAL,home,33,28,False,False,0.5,0.42738435041924516,False,0.5238371499815024,0.047674299963004874,True,0.6529825374188145,0.4084905919608648,True,0.5,0.16980173845152147,False
401127959,2019-09-22T17:00Z,PHI,DET,away,24,27,False,False,0.5,0.2100306947572047,True,0.5238371499815024,0.047674299963004874,False,0.3994805489214943,0.29665202912228084,True,0.5,0.012789529989113835,True
401128055,2019-09-29T17:00Z,MIA,LAC,away,10,30,False,False,0.5,0.296605985150703,True,0.5238371499815024,0.047674299963004874,False,0.3863200707307472,0.3519422607599784,True,0.5,0.08047671168544832,True
401127958,2019-10-06T17:00Z,CIN,ARI,away,23,26,False,False,0.5,0.37619143971935864,True,0.5238371499815024,0.047674299963004874,False,0.3390500375667082,0.41016636368889703,True,0.5,0.10192957530933486,True
401128126,2019-10-13T20:05Z,ARI,ATL,home,34,33,False,False,0.5,0.06700703803140007,False,0.5238371499815024,0.047674299963004874,True,0.6747407976575348,0.3728093518660668,True,0.5,0.14505503605694417,False
401128132,2019-10-15T00:15Z,GB,DET,home,23,22,False,False,0.5,0.39004725177923283,False,0.5238371499815024,0.047674299963004874,True,0.3680061133061618,0.4315716962008956,False,0.5,0.015361233709793578,False
401127945,2019-10-20T17:00Z,CIN,JAX,away,17,27,False,False,0.5,0.2833216739350456,True,0.5238371499815024,0.047674299963004874,False,0.4681860522392453,0.3066484274828452,True,0.5,0.1870318027910895,True
401127951,2019-10-20T17:00Z,IND,HOU,home,30,23,False,False,0.5,0.26479302501059043,False,0.5238371499815024,0.047674299963004874,True,0.39476686011294276,0.21928336018813765,False,0.5,0.06195779076823756,False
401127985,2019-10-20T20:25Z,SEA,BAL,away,16,30,False,False,0.5,0.2667267869776304,True,0.5238371499815024,0.047674299963004874,False,0.5694022626301656,0.307943815028876,False,0.5,0.09348202774704584,True
401128051,2019-10-27T17:00Z,IND,DEN,home,15,13,False,False,0.5,0.4376924470385788,False,0.5238371499815024,0.047674299963004874,True,0.5087093459775365,0.18564280483034976,True,0.5,0.008492476048964455,False
401127908,2019-11-01T00:20Z,ARI,SF,away,25,28,False,False,0.5,0.05156868470418208,True,0.5238371499815024,0.047674299963004874,False,0.6599131197854935,0.5023990205611195,False,0.5,0.10999126202554424,True
401127936,2019-11-03T14:30Z,JAX,HOU,away,3,26,False,False,0.5,0.12393604434403294,True,0.5238371499815024,0.047674299963004874,False,0.36951809033775296,0.206368721715312,True,0.5,0.194269759223361,True
401128087,2019-11-03T21:05Z,SEA,TB,home,40,34,False,False,0.5,0.04170521572023067,False,0.5238371499815024,0.047674299963004874,True,0.44419621475594334,0.3209257899685155,False,0.5,0.12624771621583744,False
401128091,2019-11-05T01:15Z,NYG,DAL,away,18,37,False,False,0.5,0.17333541629337468,True,0.5238371499815024,0.047674299963004874,False,0.47269708329791865,0.19796278857544733,True,0.5,0.2087142906081204,True
401127986,2019-11-10T21:05Z,IND,MIA,away,12,16,False,False,0.5,0.07996911498885706,True,0.5238371499815024,0.047674299963004874,False,0.5119232820369393,0.2940572805981219,False,0.5,0.18119512893345924,True
401128041,2019-11-11T01:20Z,DAL,MIN,away,24,28,False,False,0.5,0.22706912205206065,True,0.5238371499815024,0.047674299963004874,False,0.533164747508552,0.24184886066633107,False,0.5,0.0030132389205183574,True
401128075,2019-11-17T18:00Z,IND,JAX,home,33,13,False,False,0.5,0.5244824157973991,False,0.5238371499815024,0.047674299963004874,True,0.6834054529834809,0.3962676477112865,True,0.5,0.04687400479410611,False
