game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed,season_week,h2h_games,h2h_home_wins,h2h_away_wins,h2h_avg_point_diff,home_rest_days,away_rest_days,is_winter,is_warm_weather,weather_impact,point_differential,home_ppg,away_ppg,home_win,matchup_strength,home_last_game_score,home_momentum,home_form,away_last_game_score,away_momentum,away_form,home_division,away_division,is_division_game,is_conference_game,game_hour,is_primetime,is_afternoon,is_morning,is_weekend,home_win_pct,away_win_pct,win_pct_diff,is_favorite,season_home,week_home,team,score,is_home,rolling_score_recent,rolling_score_season,streak,season_away,week_away,team_away,score_away,is_home_away,rolling_score_recent_away,rolling_score_season_away,streak_away
10,2019,1,2019-09-08 20:25:00+00:00,Raymond James Stadium,,,,TB,17,0-1,0.0,SF,31,1-0,0.0,21.0,10.0,7.0,4.0,5-11,0-2,65.0,295.0,4.5,11.0,174.0,20/36,4.5,3.0,3-20,121.0,26.0,4.7,1-4,8-87,4.0,1.0,2.0,29:56,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,-14,24.2,29.0,0,26.6,,,,,,,NFC_SOUTH,NFC_WEST,False,True,20,True,False,False,True,0.0,0.0,0.0,False,2019,1,TB,17,1,17.0,17.0,0.0,2019,1,SF,31,0,31.0,31.0,0.0
11,2019,1,2019-09-08 20:25:00+00:00,AT&T Stadium,,,,DAL,35,1-0,0.0,NYG,17,0-1,0.0,23.0,18.0,4.0,1.0,6-10,0-0,62.0,494.0,8.0,10.0,405.0,25/32,12.7,0.0,0-0,89.0,30.0,3.0,2-2,6-47,0.0,0.0,0.0,32:18,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,18,25.8,26.4,1,26.1,,,,,,,NFC_EAST,NFC_EAST,True,True,20,True,False,False,True,0.0,0.0,0.0,False,2019,1,DAL,35,1,35.0,35.0,0.0,2019,1,NYG,17,0,17.0,17.0,0.0
12,2019,1,2019-09-08 20:25:00+00:00,State Farm Stadium,,,,ARI,27,0-0-1,0.0,DET,27,0-0-1,0.0,21.0,16.0,3.0,2.0,9-22,0-0,82.0,387.0,4.7,16.0,275.0,29/54,4.7,1.0,5-33,112.0,23.0,4.9,1-4,7-35,1.0,0.0,0.0,30:37,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,0,26.0,23.8,0,24.9,,,,,,,NFC_WEST,NFC_NORTH,False,True,20,True,False,False,True,0.0,0.0,0.0,False,2019,1,ARI,27,1,27.0,27.0,0.0,2019,1,DET,27,0,27.0,27.0,0.0
13,2019,1,2019-09-09 00:20:00+00:00,Gillette Stadium,,,,NE,33,1-0,0.0,PIT,3,0-1,0.0,24.0,15.0,8.0,1.0,7-14,0-0,67.0,465.0,6.9,10.0,366.0,25/37,9.6,0.0,1-7,99.0,29.0,3.4,0-3,7-55,0.0,0.0,0.0,32:33,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,30,26.6,19.6,1,23.1,,,,,,,AFC_EAST,AFC_NORTH,False,True,0,False,False,True,False,0.0,0.0,0.0,False,2019,1,NE,33,1,33.0,33.0,0.0,2019,1,PIT,3,0,3.0,3.0,0.0
14,2019,1,2019-09-09 23:10:00+00:00,Caesars Superdome,,,,NO,30,1-0,0.0,HOU,28,0-1,0.0,25.0,19.0,6.0,0.0,7-11,0-0,65.0,510.0,7.8,10.0,362.0,32/43,8.2,1.0,1-8,148.0,21.0,7.0,2-4,7-48,1.0,0.0,0.0,30:13,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,2,28.4,21.2,1,24.799999999999997,,,,,,,NFC_SOUTH,AFC_SOUTH,False,False,23,True,False,False,False,0.0,0.0,0.0,False,2019,1,NO,30,1,30.0,30.0,0.0,2019,1,HOU,28,0,28.0,28.0,0.0
15,2019,1,2019-09-10 02:20:00+00:00,Oakland Coliseum,,,,OAK,24,1-0,0.0,DEN,16,0-1,0.0,19.0,11.0,8.0,0.0,10-14,0-0,54.0,357.0,6.6,8.0,259.0,22/26,10.0,0.0,0-0,98.0,28.0,3.5,3-4,9-62,0.0,0.0,0.0,32:45,,,,,,,,,,,,,2019_1,0,0,0,0.0,7,7,False,True,False,8,29.8,18.2,1,24.0,,,,,,,,AFC_WEST,False,False,2,False,False,True,False,0.0,0.0,0.0,False,2019,1,OAK,24,1,24.0,24.0,0.0,2019,1,DEN,16,0,16.0,16.0,0.0
16,2019,2,2019-09-13 00:20:00+00:00,Bank of America Stadium,,,,CAR,14,0-2,0.0,TB,20,1-1,0.0,20.0,16.0,2.0,2.0,3-14,0-3,73.0,352.0,4.8,13.0,313.0,25/51,5.8,0.0,3-20,39.0,19.0,2.1,0-3,5-50,1.0,1.0,0.0,26:07,,,,,,,,,,,,,2019_2,0,0,0,0.0,4,4,False,True,False,-6,25.6,18.8,0,22.200000000000003,27.0,-13.0,-13.0,,,,NFC_SOUTH,NFC_SOUTH,True,True,0,False,False,True,False,0.0,0.0,0.0,False,2019,2,CAR,14,1,20.5,20.5,-1.0,2019,2,TB,20,0,18.5,18.5,1.0
17,2019,2,2019-09-15 17:00:00+00:00,Northwest Stadium,,,,WSH,21,0-2,0.0,DAL,31,2-0,0.0,19.0,12.0,4.0,3.0,2-9,2-3,55.0,255.0,4.6,9.0,208.0,26/37,5.5,0.0,1-13,47.0,17.0,2.8,3-3,6-44,0.0,0.0,0.0,26:38,,,,,,,,,,,,,2019_2,0,0,0,0.0,7,6,False,True,False,-10,24.4,19.6,0,22.0,,,,,,,,NFC_EAST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,WSH,21,1,24.0,24.0,-1.0,2019,2,DAL,31,0,33.0,33.0,-1.0
18,2019,2,2019-09-15 17:00:00+00:00,NRG Stadium,,,,HOU,13,1-1,0.0,JAX,12,0-2,0.0,17.0,9.0,7.0,1.0,6-15,1-1,63.0,263.0,4.2,11.0,137.0,16/29,4.2,0.0,4-22,126.0,30.0,4.2,1-2,7-47,0.0,0.0,0.0,29:59,,,,,,,,,,,,,2019_2,0,0,0,0.0,5,7,False,True,False,1,20.4,21.4,1,20.9,,,,,,,AFC_SOUTH,AFC_SOUTH,True,True,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,HOU,13,1,20.5,20.5,-1.0,2019,2,JAX,12,0,19.0,19.0,-1.0
19,2019,2,2019-09-15 17:00:00+00:00,M&T Bank Stadium,,,,BAL,23,2-0,0.0,ARI,17,0-1-1,0.0,26.0,16.0,9.0,1.0,7-14,0-1,72.0,440.0,6.1,10.0,258.0,24/37,6.6,0.0,2-14,182.0,33.0,5.5,1-4,10-62,0.0,0.0,0.0,37:38,,,,,,,,,,,,,2019_2,0,0,0,0.0,7,6,False,True,False,6,19.0,19.2,1,19.1,,,,,,,AFC_NORTH,NFC_WEST,False,False,17,False,True,False,True,0.0,0.0,0.0,False,2019,2,BAL,23,1,41.0,41.0,-1.0,2019,2,ARI,17,0,22.0,22.0,-1.0
