team,season,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,rushing_fumbles_lost,receiving_yards,receiving_tds,games,total_yards_per_game,points_per_game,turnover_ratio
KC,2022,5250.0,41,12.0,2310.0,20,4.0,5538.0,41,17,444.70588235294116,36.0,-0.9411764705882353
KC,2023,4383.0,28,17.0,1858.0,9,1.0,4415.0,28,16,390.0625,24.375,-1.125
LA,2018,4730.0,32,12.0,2335.0,23,0.0,4754.0,33,16,441.5625,33.0,-0.75
LA,2019,4669.0,22,17.0,1499.0,20,3.0,4669.0,22,16,385.5,24.0,-1.25
LA,2020,4183.0,20,14.0,2018.0,19,3.0,4179.0,20,16,387.5625,22.125,-1.0625
LA,2021,4893.0,41,18.0,1692.0,10,1.0,4904.0,40,17,387.3529411764706,32.11764705882353,-1.1176470588235294
LA,2022,4819.0,22,21.0,1430.0,13,3.0,3369.0,16,16,390.5625,19.125,-1.5
LA,2023,4128.0,26,12.0,1993.0,17,1.0,4192.0,26,17,360.05882352941177,24.352941176470587,-0.7647058823529411
LAC,2018,4316.0,32,12.0,1873.0,16,0.0,4316.0,32,16,386.8125,30.0,-0.75
LAC,2019,4648.0,24,20.0,1453.0,12,4.0,4516.0,24,16,381.3125,22.5,-1.5
LAC,2020,4548.0,31,10.0,1797.0,12,2.0,4615.0,31,16,396.5625,27.75,-0.75
LAC,2021,5014.0,38,15.0,1834.0,18,2.0,5049.0,38,17,402.8235294117647,33.1764705882353,-1.0
LAC,2022,4791.0,26,10.0,1524.0,15,2.0,4791.0,26,17,371.47058823529414,23.647058823529413,-0.7058823529411765
LAC,2023,4312.0,24,8.0,1642.0,11,3.0,4312.0,24,17,350.2352941176471,20.823529411764707,-0.6470588235294118
LV,2020,4383.0,28,10.0,1916.0,20,4.0,4383.0,28,16,393.6875,28.5,-0.875
LV,2021,4808.0,23,14.0,1617.0,14,2.0,5013.0,24,17,377.94117647058823,21.529411764705884,-0.9411764705882353
LV,2022,4182.0,28,17.0,2057.0,12,0.0,4182.0,28,17,367.0,24.0,-1.0
