date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-09-22,ARI,CAR,20.0,38.0,State Farm Stadium,661.0,53.0,79.0,49.0,42.0,27.0,13.0,1.0,1.0,4.0,87.0
2019-09-22,TB,NYG,31.0,32.0,Raymond James Stadium,885.0,51.0,83.0,46.0,41.0,27.0,10.0,2.0,2.0,4.0,89.0
2019-09-22,LAC,HOU,20.0,27.0,StubHub Center,742.0,37.0,87.0,56.0,41.0,25.0,11.0,3.0,2.0,3.0,134.0
2019-09-22,SEA,NO,27.0,33.0,CenturyLink Field,779.0,50.0,77.0,51.0,41.0,25.0,8.0,5.0,2.0,2.0,123.0
2019-09-22,SF,PIT,24.0,20.0,Levi's Stadium,675.0,62.0,62.0,37.0,36.0,23.0,9.0,1.0,0.0,9.0,113.0
2019-09-22,CLE,LA,13.0,20.0,FirstEnergy Stadium,614.0,48.0,79.0,42.0,37.0,30.0,12.0,2.0,0.0,5.0,109.0
2019-09-23,WAS,CHI,15.0,31.0,FedExField,654.0,45.0,83.0,55.0,45.0,22.0,11.0,3.0,2.0,7.0,120.0
2019-09-26,GB,PHI,27.0,34.0,Lambeau Field,827.0,53.0,82.0,50.0,54.0,20.0,11.0,1.0,0.0,2.0,143.0
2019-09-29,ATL,TEN,10.0,24.0,Mercedes-Benz Stadium,787.0,51.0,85.0,53.0,46.0,27.0,11.0,5.0,1.0,4.0,127.0
2019-09-29,BAL,CLE,25.0,40.0,M&T Bank Stadium,927.0,59.0,71.0,44.0,46.0,23.0,10.0,3.0,2.0,5.0,56.0
2019-09-29,BUF,NE,10.0,16.0,New Era Field,599.0,45.0,88.0,40.0,33.0,31.0,7.0,2.0,1.0,8.0,134.0
2019-09-29,DET,KC,30.0,34.0,Ford Field,885.0,60.0,80.0,45.0,56.0,22.0,9.0,1.0,1.0,6.0,99.0
